Kia Rio 5-Door,4
Nissan Versa Sedan,13
Honda Fit,12
Ford Ranger,38
Toyota RAV4,24
BMW 3 Series Sports Wagon,12
Cadillac Escalade,24
Dodge Caliber,11
Acura TSX Sport Wagon,2
Mercedes-Benz CLS-Class,3
Aston Martin Virage Volante,2
Volkswagen Golf R 2-Door,1
Mitsubishi Eclipse Coupe,14
Audi A4 Avant,3
Ford Fiesta Hatchback,4
Maybach 62,5
Volvo C70,6
BMW X5,10
Bentley Mulsanne,1
Jeep Patriot,23
BMW X3,4
Suzuki SX4 Sedan,8
Bentley Brooklands,1
Audi A8,7
Chevrolet HHR Panel,8
Aston Martin DB9 Coup,7
Land Rover Range Rover,9
Maserati GranTurismo Coup,4
Volvo S40,7
Dodge Dakota,28
Nissan Cube,6
Chevrolet Corvette Coupe,24
GMC Yukon Hybrid,10
Mazda Mazda3 4-Door,26
Dodge Challenger,11
Kia Rio,8
Cadillac CTS-V Sedan,6
Aston Martin V8 Vantage Coup,5
Jaguar XK Convertible,6
BMW ALPINA B7 Sedan,4
Kia Forte Koup,12
Mercedes-Benz SL-Class,3
Porsche Boxster,5
Subaru Forester,23
Honda Civic Sedan,35
Mazda Mazda6,23
Chevrolet Corvette Grand Sport Convertible,24
Infiniti IPL G Coupe,4
Volkswagen Jetta SportWagen,11
Honda Accord Crosstour Hatchback,9
Chrysler 200 Convertible,3
Porsche Cayenne S Hybrid,1
BMW X6,6
Mercedes-Benz R-Class,6
Infiniti FX,9
BMW 3 Series Sedan,18
BMW ActiveHybrid 7 Sedan,3
Dodge Charger,14
Volkswagen CC,10
BMW 1 Series Coupe,7
Volvo S60,4
Mitsubishi Endeavor,6
Jaguar XF,12
Lexus IS C,9
Infiniti QX56,6
Toyota Sienna,33
GMC Canyon,78
Toyota Highlander,25
Rolls-Royce Ghost,2
Nissan Sentra,9
Audi Q7,12
BMW M6 Coup,1
Hyundai Sonata,25
Chevrolet Aveo5,10
Chrysler Sebring Convertible,3
Lincoln MKZ,2
Hyundai Genesis Sedan,7
Acura ZDX,3
Hyundai Elantra Sedan,15
Mercedes-Benz GLK-Class,4
Buick Verano,3
Chevrolet Traverse,24
BMW Z4 Roadster,5
Nissan Juke,2
MINI Clubman,15
Ford Shelby GT500 Coupe,1
Dodge Ram 1500,109
Buick Regal,13
Kia Forte,15
Maybach 57,5
Chevrolet Camaro Convertible,16
Chevrolet Equinox,43
Suzuki SX4 Sportback,4
Chevrolet Corvette Z06,9
Volkswagen Golf 4-Door,6
Toyota Venza,8
Lexus LFA,1
Ford E-350 Super Duty Van,16
Nissan 370Z Roadster,11
Nissan Frontier,55
Hyundai Azera,4
BMW M3 Sedan,2
Hyundai Equus,4
